연도,발생~종료,시·군,원인,피해(㏊),비고
1996년 (1건),04.23.(화)~04.25.(목),고성,군사격장(폐탄처리),"3,762.00",
1998년 (2건),03.29(일)~03.29(일),강릉,농산폐기물 소각,301.00,동시다발1
,03.29(일)~03.30(월),동해,입산자 실화추정,256.00,동시다발1
2000년 (9건),03.25(토)~03.25(토),횡성,입산자 실화추정,288.87,
,04.05(수)~04.06(목),원주,입산자 실화추정,254.00,
,04.07(금)~04.08(토),고성,쓰레기소각,"1,210.00",동시다발2
,04.07(금)~04.15(토),삼척,쓰레기소각,"13,343.00",동시다발2
,04.07(금)~04.08(토),고성,북한지역 남하,"1,420.00",동시다발2
,04.07(금)~04.08(토),강릉,쓰레기소각,"1,296.00",동시다발2
,04.12(수)~04.15(토),삼척,입산자 실화추정,"4,053.40",동시다발3
,04.12(수)~04.12(수),강릉,쓰레기 소각추정,109.00,동시다발3
,04.12(수)~04.15(토),동해,담뱃불 실화추정,"2,243.90",동시다발3
2002년 (1건),03.11(월)~03.12(화),고성,북한지역 남하,150.00,
2004 (2건),03.10(수)~03.11(목),속초,고압선 절단,180.00,
,03.16(화)~03.17(수),강릉,방화추정,430.00,
2005년 (3건),04.04(월)~04.06(수),고성,북한지역 남하,184.00,동시다발4
,04.04(월)~04.06(수),양양,입산자 실화추정,973.00,동시다발4
,04.28(목)~04.29(금),양양,전선스파크 추정,168.26,
2017년 (3건),03.09(목)~03.10(금),강릉,입산자 실화,160.41,
,05.06(토)~05.09(화),삼척,입산자 실화추정,765.00,동시다발5
,05.06(토)~05.09(화),강릉,입산자 실화추정,252.00,동시다발5
2018년 (3건),02.11(일)~02.13(화),삼척,주택화재 비화,161.14,동시다발6
,02.11(일)~02.13(화),삼척,원인미상,76.46,동시다발6
,03.28(수)~03.28(수),고성,전선단락 추정,356.85,
2019년 (3건),04.04(목)~04.06(토),인제,쓰레기소각,344.93,동시다발7
,04.04(목)~04.05(금),속초고성,특고압전선아크불티,"1,266.62",동시다발7
,04.04(목)~04.05(금),강릉동해,신당전기초합선,"1,260.15",동시다발7
2020년 (1건),05.01(금)~05.01(금),고성,주택화재 비화,123.20,
2022년 (4건),03.05(토)~03.08(월),강릉동해,방화,4190.38,동시다발8
,03.04(금)~03.08(월),영월,화목난로재투기,184.01,동시다발8
,03.04(금)~03.13(일),삼척,울진산불 북상,2161.97,동시다발8
,04.10(일)~04.12(화),양구,쓰레기소각,716.31,
